points;Location;environment;Date_prele;X1_submerg;X1_emerg;X1_emerg_Land;mowed_area;mean.water;mean.mud;forest.dist;prop_Magno;prop_Nypha;prop_Phrag;prop_Phala;MeanTemp;MinTemp;MaxTemp;
1;100;Cheseaux;magno;25.05.2018;4;97;70;1;2,522222222;6,171428571;66,89482008;28,674;0;0;71,326;16,3272756;9,615;22,141
2;102;Cheseaux;phrag;28.05.2018;3;65;15;0;9,022222222;4,766666667;81,60598075;0,086;0;99,914;0;17,94133127;10,173;26,705
3;104;Cheseaux;magno;26.05.2018;0;95;75;0;0,855555556;2,5;32,93127765;100;0;0;0;16,71898729;9,097;25,133
4;107;Cheseaux;magno;25.05.2018;0;80;60;1;2,888888889;0,8375;60,30171361;100;0;0;0;17,73883162;10;24,5
5;108;Cheseaux;magno;28.05.2018;0;95;55;0;0,5;1,6;144,6691441;100;0;0;0;16,75164536;9,12;21,141
6;109;Cheseaux;magno;28.05.2018;1;70;60;1;2,666666667;3,371428571;95,2515889;100;0;0;0;19,31946735;10,15;26,688
7;110;Cheseaux;magno;26.05.2018;1;93;35;0;4,655555556;1,8875;58,13657565;100;0;0;0;16,61163849;9,618;21,154
8;111;Cheseaux;magno;28.05.2018;1;60;45;1;0,855555556;1,7;139,8865018;100;0;0;0;20,165211;11,091;32,11
9;118;Cheseaux;phrag;23.05.2018;1;90;10;0;6,344444444;4,2875;69,02816557;0;0;84,437;0;16,47495533;9,611;27,625
10;123;Cheseaux;magno;27.05.2018;1;75;40;1;2,744444444;1,4875;60,5306912;100;0;0;0;18,55204952;11,165;24,688
11;124;Cheseaux;magno;26.05.2018;0;97;75;0;0,922222222;0,657142857;178,8002547;100;0;0;0;16,81446873;9,145;25,188
12;125;Cheseaux;nympha;23.05.2018;2;55;7;0;6,722222222;5,977777778;40,24486571;3,418;55,133;0;0;20,88749141;10,602;35,115
13;127;Cheseaux;magno;28.05.2018;0;80;45;0;3,233333333;4,4;59,89530119;100;0;0;0;16,8532543;9,61;24,133
14;129;Cheseaux;magno;26.05.2018;0;97;75;0;2,733333333;0,75;108,909106;100;0;0;0;18,32319588;14,5;25,375
15;130;Cheseaux;phrag;27.05.2018;3;65;2;0;11,56666667;6,088888889;79,76145801;0;0;100;0;18,75067526;10,15;28,187
16;131;Cheseaux;magno;25.05.2018;1;75;35;1;1,688888889;1,366666667;61,83007365;100;0;0;0;17,43771478;14,5;25,25
17;133;Cheseaux;magno;28.05.2018;0;95;85;0;-0,211111111;0,816666667;189,4088508;100;0;0;0;17,66758625;10,1;30,622
18;140;Cheseaux;nympha;28.05.2018;5;20;0;0;32,73333333;5,711111111;78,93458282;6,871;62,023;31,106;0;19,57861443;12,549;27,562
19;141;Cheseaux;nympha;28.05.2018;5;45;3;0;13,94444444;3,333333333;61,74357734;30,247;67,278;0;2,475;18,77655808;11,114;26,633
20;142;Cheseaux;nympha;21.05.2018;3;50;0;0;32,41111111;5,6;58,59034916;0;80,862;0;19,138;19,90025979;12,549;26,562
21;144;Cheseaux;nympha;28.05.2018;3;15;0;0;31,75555556;4,7;71,29284444;0;100;0;0;20,06209485;12,509;33,008
22;145;Cheseaux;phrag;23.05.2018;1;70;5;0;14,83333333;6,066666667;89,627905;0;0;100;0;17,61718213;10;26
23;146;Cheseaux;phrag;21.05.2018;1;85;0;0;21,58888889;2,9;76,91891042;0;0;100;0;17,17113402;10;26
24;147;Cheseaux;phrag;27.05.2018;0;85;15;0;11,52222222;1,877777778;96,10590383;0;0;100;0;16,95608866;10,083;27,107
25;148;Cheseaux;phrag;24.05.2018;1;90;25;0;6,155555556;1,05;89,84086019;0;0;100;0;16,8707622;9,548;27,57
26;200;Glettrens;magno;27.05.2018;1;85;20;0;10,93333333;0,8;390,6018195;100;0;0;0;17,59332165;10,602;30,622
27;201;Glettrens;nympha;26.05.2018;10;20;0;0;28,65555556;4,411111111;133,9133062;0;0;100;0;22,48746667;13,609;34,115
28;203;Glettrens;magno;21.05.2018;2;60;0;0;13,22222222;0,888888889;62,63660595;100;0;0;0;19,53238351;11,604;30,622
29;205;Glettrens;magno;24.05.2018;1;60;20;0;2,588888889;4,014285714;69,83117373;100;0;0;0;17,95413952;10,613;30,63
30;207;Glettrens;magno;27.05.2018;4;80;3;0;14,31111111;0,833333333;320,0504012;100;0;0;0;19,61840412;12,057;31,561
31;211;Glettrens;magno;23.05.2018;1;95;5;0;9,655555556;1,8375;376,888178;100;0;0;0;18,12886598;14,5;30
32;215;Glettrens;magno;26.05.2018;15;37;15;0;21,85555556;1,166666667;238,6563245;42,395;57,605;0;0;19,79674639;12,163;31,178
33;216;Glettrens;magno;27.05.2018;1;55;5;0;9,477777778;1,866666667;286,1744915;100;0;0;0;17,08556701;10;29,5
34;217;Glettrens;nympha;27.05.2018;15;7;0;0;36,76666667;7,4;110,0359987;0;100;0;0;22,8842323;13,614;31,628
35;218;Glettrens;magno;27.05.2018;1;30;2;1;10,53333333;12,0875;116,422948;100;0;0;0;19,23952577;11,114;30,63
36;223;Glettrens;magno;27.05.2018;1;65;1;0;18,55555556;1,666666667;200,8985156;100;0;0;0;19,66377251;11,667;30,685
37;224;Glettrens;magno;28.05.2018;1;60;7;0;10,44444444;1,7125;216,0072222;100;0;0;0;19,25803436;11,67;30,193
38;225;Glettrens;magno;26.05.2018;1;80;15;1;8,844444444;1,411111111;185,4432128;100;0;0;0;18,0341244;11,103;30,626
39;231;Glettrens;magno;26.05.2018;1;95;7;0;13,54444444;0,955555556;139,342782;100;0;0;0;16,55625636;10,105;30,623
40;233;Glettrens;magno;27.05.2018;1;97;10;0;7,888888889;0,955555556;95,29397748;100;0;0;0;15,5371134;10;29,5
41;236;Glettrens;magno;21.05.2018;1;98;2;0;20,02222222;1;265,4615581;100;0;0;0;17,86501718;11,585;30,1
42;237;Glettrens;nympha;26.05.2018;3;75;20;0;19,57777778;2,855555556;327,5793964;49,496;50,504;0;0;19,0413622;12,063;32,568
43;240;Glettrens;nympha;21.05.2018;5;65;15;0;13,42222222;2,411111111;246,7379375;24,67;75,33;0;0;17,51165818;10,161;29,702
44;242;Glettrens;nympha;23.05.2018;7;30;2;0;15,31111111;4,3;260,6773423;0,278;99,722;0;0;18,75463918;11;29,5
45;247;Glettrens;nympha;26.05.2018;4;50;5;0;12,52222222;4,55;324,8434901;0;100;0;0;21,40980241;12,5;32,199
46;248;Glettrens;nympha;26.05.2018;4;50;5;0;12,52222222;4,55;267,7269095;0;100;0;0;21,40980241;12,5;32,199
47;249;Glettrens;nympha;27.05.2018;3;75;2;0;18,23333333;6,455555556;296,9676241;38,179;61,821;0;0;19,36776479;12,117;30,131
48;251;Glettrens;nympha;26.05.2018;3;40;2;0;21,48888889;15,85555556;290,3721882;0;100;0;0;20,57924399;12,614;33,619
49;252;Glettrens;nympha;21.05.2018;15;40;0;0;23,78888889;10,37777778;301,0719921;0;100;0;0;20,75831615;12,614;30,622
50;261;Glettrens;nympha;27.05.2018;20;15;0;0;43,27777778;6,525;129,229421;0;100;0;0;22,58865086;13,664;31,68
